"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_one","Pytest_example","Mon Apr 07 21:30:24 EEST 2025","passed","Mon Apr 07 21:30:24 EEST 2025","","test_pytest","",""
"","60","test_get_one_post","Pytest_example","Mon Apr 07 21:30:23 EEST 2025","broken","Mon Apr 07 21:30:23 EEST 2025","","test_pytest","",""
"","0","test_three[]","Pytest_example","Mon Apr 07 21:30:24 EEST 2025","passed","Mon Apr 07 21:30:24 EEST 2025","","test_pytest","",""
"","0","test_two","Pytest_example","Mon Apr 07 21:30:24 EEST 2025","passed","Mon Apr 07 21:30:24 EEST 2025","","test_pytest","",""
"","512","test_delete","Pytest_example","Mon Apr 07 21:30:25 EEST 2025","passed","Mon Apr 07 21:30:25 EEST 2025","","test_pytest2","",""
"","542","test_post_a_post","Pytest_example","Mon Apr 07 21:30:24 EEST 2025","passed","Mon Apr 07 21:30:24 EEST 2025","","test_pytest","",""
"","63","test_get_all_posts","Pytest_example","Mon Apr 07 21:30:24 EEST 2025","passed","Mon Apr 07 21:30:24 EEST 2025","","test_pytest","",""
"","0","test_three[(*&^]","Pytest_example","Mon Apr 07 21:30:24 EEST 2025","passed","Mon Apr 07 21:30:24 EEST 2025","","test_pytest","",""
"","0","test_three[ ]","Pytest_example","Mon Apr 07 21:30:24 EEST 2025","passed","Mon Apr 07 21:30:24 EEST 2025","","test_pytest","",""
